start_pct,end_pct,elapsed_time
10,20,43.974
20,30,274.557
30,40,262.023
40,50,67.161
50,60,211.315
50,60,18.46
50,60,63.506
50,60,1.107
50,60,0.245
50,60,0.742
50,60,0.124
50,60,2.217
50,60,0.123
50,60,0.123
50,60,0.245
50,60,0.122
50,60,0.12
50,60,0.861
50,60,0.245
40,50,0.615
50,60,7.267
50,60,0.123
50,60,0.124
50,60,5.165
50,60,420.973
50,60,0.122
50,60,2.461
50,60,0.366
50,60,0.123
50,60,0.123
50,60,4.677
50,60,0.247
50,60,0.123
50,60,7.142
50,60,1.355
50,60,0.124
50,60,0.123
30,40,4.935
40,50,13.559
50,60,43.121
50,60,0.249
50,60,0.123
50,60,0.617
50,60,0.617
50,60,0.123
50,60,4.551
50,60,0.369
50,60,0.614
50,60,0.123
50,60,0.125
50,60,0.369
50,60,0.247
30,40,2.214
40,50,28.544
50,60,258.582
50,60,5.171
50,60,0.124
50,60,6.172
40,50,3.198
50,60,9.127
50,60,18.466
10,20,49.258
20,30,274.885
30,40,262.505
40,50,67.24
50,60,211.804
50,60,18.486
50,60,63.561
50,60,1.107
50,60,0.249
50,60,0.74
50,60,0.123
50,60,2.217
50,60,0.124
50,60,0.121
50,60,0.246
50,60,0.128
50,60,0.123
50,60,0.862
50,60,0.248
40,50,0.618
50,60,7.267
50,60,0.122
50,60,0.126
50,60,5.181
10,20,45.523
20,30,274.883
30,40,262.269
40,50,67.269
50,60,211.539
50,60,18.461
50,60,63.61
50,60,1.109
50,60,0.243
50,60,0.74
50,60,0.122
50,60,2.222
50,60,0.122
50,60,0.122
50,60,0.247
50,60,0.122
50,60,0.124
50,60,0.86
50,60,0.246
40,50,0.616
50,60,7.26
50,60,0.122
50,60,0.124
50,60,5.17
10,20,43.98
20,30,274.887
10,20,44.182
10,20,44.136
20,30,275.075
